generation,id,block density,actuator density,fitness,parent
13,52,25,24,7.044429,"(25, 22)"
13,53,25,24,0.706894,"(25, 21)"
13,54,22,22,2.080308,"(21, 19)"
13,55,25,15,2.719821,"(25, 19)"
14,56,25,11,3.450074,"(25, 13)"
14,57,25,13,2.738759,"(20, 18)"
14,58,25,2,7.319128,"(25, 23)"
14,59,24,4,6.478064,"(21, 1)"
15,60,25,16,5.27776,"(25, 7)"
15,61,25,21,1.28777,"(25, 11)"
15,62,25,21,3.183063,"(25, 18)"
15,63,11,7,0.932197,"(10, 5)"
16,64,25,21,0.746184,"(25, 21)"
16,65,25,17,0.201065,"(25, 14)"
16,66,11,0,5.152534,"(12, 0)"
16,67,23,22,10.559706,"(25, 2)"
17,68,24,14,10.571178,"(25, 10)"
17,69,22,22,2.608264,"(22, 22)"
17,70,25,1,5.388425,"(24, 0)"
17,71,25,20,10.571866,"(25, 15)"
18,72,23,2,1.98974,"(21, 1)"
18,73,20,9,1.334228,"(11, 7)"
18,74,25,0,6.311488,"(24, 4)"
18,75,20,7,1.607788,"(24, 4)"
19,76,25,25,3.544087,"(25, 23)"
19,77,7,7,4.073482,"(20, 7)"
19,78,19,15,2.391751,"(24, 14)"
19,79,25,5,0.00739,"(25, 3)"
20,80,12,0,4.058119,"(12, 0)"
20,81,19,19,3.028223,"(23, 22)"
20,82,25,18,1.350617,"(25, 13)"
20,83,25,9,2.583658,"(25, 11)"
21,84,19,11,0.350261,"(13, 8)"
21,85,25,0,0.022547,"(21, 1)"
21,86,25,23,10.571158,"(25, 25)"
21,87,23,23,1.352039,"(22, 22)"
22,88,25,6,3.562336,"(25, 9)"
22,89,14,10,1.644981,"(23, 2)"
22,90,25,6,0.281522,"(25, 16)"
22,91,15,8,10.575685,"(25, 23)"
23,92,25,7,10.58448,"(15, 8)"
23,93,25,12,4.128967,"(25, 13)"
23,94,13,8,0.000772,"(20, 9)"
23,95,23,20,5.116684,"(19, 15)"
24,96,25,25,10.575294,"(20, 7)"
24,97,25,19,10.571003,"(24, 14)"
24,98,25,1,4.210075,"(25, 1)"
24,99,25,8,7.97515,"(25, 0)"
25,100,16,7,7.411754,"(11, 11)"
25,101,24,2,4.958865,"(23, 2)"
25,102,24,0,2.360088,"(13, 8)"
25,103,25,11,10.583312,"(25, 7)"
26,104,25,0,1.81826,"(25, 11)"
26,105,25,13,10.57892,"(25, 7)"
26,106,25,9,0.189439,"(20, 7)"
26,107,25,18,6.812868,"(25, 21)"
27,108,16,16,10.600067,"(25, 25)"
27,109,25,2,7.982621,"(25, 13)"
27,110,25,25,10.571507,"(25, 19)"
27,111,25,22,10.565368,"(25, 25)"
28,112,13,13,10.643309,"(7, 7)"
28,113,25,22,7.021052,"(25, 18)"
28,114,25,15,10.569738,"(25, 19)"
28,115,9,0,3.232973,"(11, 0)"
29,116,25,22,3.12489,"(20, 20)"
29,117,10,9,-0.032993,"(14, 10)"
29,118,10,10,10.56973,"(25, 7)"
29,119,25,0,6.255029,"(21, 1)"
30,120,12,12,10.624306,"(16, 16)"
30,121,25,25,6.657391,"(23, 23)"
30,122,25,9,7.263258,"(25, 23)"
30,123,25,1,1.751055,"(24, 0)"
31,124,23,0,6.578232,"(25, 0)"
31,125,23,23,0.578211,"(19, 15)"
31,126,23,22,3.596046,"(23, 22)"
31,127,23,0,8.177813,"(13, 0)"
32,128,23,14,0.3575,"(13, 8)"
32,129,13,5,4.341646,"(25, 6)"
32,130,25,0,3.41142,"(24, 0)"
32,131,15,0,3.71922,"(12, 0)"
33,132,20,15,1.143926,"(20, 18)"
33,133,18,0,8.097661,"(23, 0)"
33,134,24,13,10.564788,"(24, 14)"
33,135,20,20,4.480011,"(22, 22)"
34,136,9,6,0.982018,"(19, 11)"
34,137,20,20,7.594716,"(20, 20)"
34,138,23,23,5.776841,"(23, 22)"
34,139,19,18,0.000445,"(11, 7)"
35,140,24,0,7.376061,"(25, 0)"
35,141,22,22,10.555712,"(19, 19)"
35,142,11,0,10.568523,"(25, 7)"
35,143,25,2,0.377228,"(25, 3)"
36,144,25,23,6.144301,"(25, 24)"
36,145,25,15,10.571128,"(25, 19)"
36,146,20,0,8.114503,"(13, 0)"
36,147,25,22,10.564647,"(25, 24)"
37,148,17,5,-0.059291,"(14, 10)"
37,149,25,10,0.060794,"(25, 25)"
37,150,16,3,10.515848,"(21, 1)"
37,151,25,1,7.634473,"(25, 9)"
38,152,25,0,5.758887,"(24, 14)"
38,153,25,14,10.58235,"(15, 8)"
38,154,25,17,10.572799,"(25, 22)"
38,155,5,5,8.602914,"(15, 8)"
39,156,23,9,10.546353,"(16, 3)"
39,157,25,0,3.856445,"(24, 2)"
39,158,16,0,6.719797,"(9, 0)"
39,159,25,21,0.68378,"(10, 5)"
40,160,21,21,10.590593,"(25, 22)"
40,161,11,11,-0.019715,"(11, 7)"
40,162,16,2,6.783284,"(16, 16)"
40,163,22,17,10.55411,"(12, 12)"
41,164,18,2,8.181905,"(16, 3)"
41,165,13,2,2.666877,"(13, 5)"
41,166,25,16,1.0265,"(21, 1)"
41,167,24,15,10.554997,"(25, 17)"
42,168,25,23,3.480493,"(23, 20)"
42,169,13,0,7.964138,"(23, 0)"
42,170,25,7,5.414152,"(13, 8)"
42,171,25,21,0.328539,"(23, 14)"
43,172,15,15,10.576742,"(25, 9)"
43,173,25,18,0.09886,"(25, 24)"
43,174,20,15,10.621798,"(24, 15)"
43,175,9,7,4.437278,"(11, 7)"
44,176,12,0,7.911079,"(17, 5)"
44,177,25,0,7.104714,"(23, 20)"
44,178,25,15,6.259567,"(25, 15)"
44,179,25,12,9.25768,"(7, 7)"
45,180,13,1,10.480473,"(17, 5)"
45,181,11,7,0.262228,"(10, 9)"
45,182,5,5,5.800888,"(20, 15)"
45,183,19,1,4.534054,"(19, 18)"
46,184,25,13,4.54847,"(25, 1)"
46,185,25,16,5.340811,"(24, 13)"
46,186,9,9,5.849614,"(21, 21)"
46,187,24,11,1.38355,"(23, 14)"
47,188,25,7,5.863775,"(25, 1)"
47,189,19,10,9.293148,"(25, 22)"
47,190,16,1,9.156866,"(16, 2)"
47,191,25,23,10.573561,"(10, 10)"
48,192,25,22,10.572569,"(16, 3)"
48,193,17,17,10.637419,"(21, 21)"
48,194,20,5,4.830369,"(17, 5)"
48,195,19,0,9.343542,"(19, 1)"
49,196,25,21,0.054315,"(21, 19)"
49,197,13,0,1.001258,"(25, 8)"
49,198,9,0,5.648327,"(11, 0)"
49,199,20,0,7.365388,"(25, 7)"
50,200,25,7,5.238549,"(24, 14)"
50,201,21,19,0.021479,"(23, 22)"
50,202,16,10,1.445316,"(24, 11)"
50,203,7,1,4.322887,"(13, 8)"
51,204,3,3,0.0,"(13, 13)"
51,205,5,0,7.434951,"(18, 0)"
51,206,23,0,3.868883,"(19, 10)"
51,207,18,6,6.227116,"(14, 10)"
52,208,21,13,0.580122,"(24, 11)"
52,209,25,12,8.23431,"(15, 15)"
52,210,3,0,3.213374,"(5, 0)"
52,211,20,2,4.247973,"(23, 2)"
53,212,22,20,10.557631,"(21, 19)"
53,213,24,11,10.565957,"(23, 9)"
53,214,18,0,10.525236,"(23, 0)"
53,215,25,24,10.574978,"(25, 6)"
54,216,21,21,10.559701,"(16, 16)"
54,217,4,0,0.0,"(5, 0)"
54,218,6,0,4.352402,"(7, 1)"
54,219,18,4,10.536642,"(17, 5)"
55,220,21,0,4.18869,"(16, 0)"
55,221,25,19,10.563103,"(25, 22)"
55,222,9,9,8.528485,"(20, 7)"
55,223,15,10,1.412618,"(16, 7)"
56,224,25,14,10.571978,"(22, 20)"
56,225,11,0,6.862032,"(12, 0)"
56,226,25,13,10.569894,"(25, 16)"
56,227,20,19,10.544592,"(22, 22)"
57,228,25,10,8.093842,"(25, 12)"
57,229,25,10,1.635714,"(20, 7)"
57,230,17,0,-0.003368,"(25, 8)"
57,231,25,11,3.701297,"(25, 1)"
58,232,25,18,0.78643,"(23, 20)"
58,233,9,7,4.525773,"(24, 14)"
58,234,21,0,4.440002,"(19, 1)"
58,235,8,2,2.079525,"(14, 10)"
59,236,23,21,7.311538,"(23, 22)"
59,237,8,2,0.01785,"(7, 7)"
59,238,21,18,10.559614,"(23, 22)"
59,239,24,24,0.853405,"(23, 22)"
60,240,25,21,10.571026,"(16, 16)"
60,241,25,0,6.017443,"(13, 0)"
60,242,21,0,8.337287,"(18, 0)"
60,243,25,15,10.571639,"(25, 10)"
61,244,20,15,0.332935,"(13, 8)"
61,245,25,2,5.719551,"(24, 4)"
61,246,10,3,1.934188,"(8, 2)"
61,247,25,11,10.573858,"(15, 10)"
62,248,25,19,10.571713,"(25, 21)"
62,249,25,9,7.991579,"(24, 2)"
62,250,20,20,0.048442,"(25, 23)"
62,251,11,9,0.014923,"(20, 5)"
63,252,9,9,1.602802,"(16, 2)"
63,253,25,19,10.572223,"(25, 12)"
63,254,13,13,10.662683,"(9, 9)"
63,255,25,16,10.574539,"(25, 13)"
64,256,19,19,0.003433,"(19, 18)"
64,257,25,6,10.574621,"(25, 10)"
64,258,22,22,-0.003899,"(25, 9)"
64,259,1,0,0.112362,"(7, 1)"
65,260,25,19,9.217923,"(25, 19)"
65,261,18,18,2.951829,"(23, 21)"
65,262,25,19,10.568603,"(20, 19)"
65,263,25,15,6.524984,"(25, 18)"
66,264,24,19,10.565004,"(25, 21)"
66,265,24,4,6.941546,"(7, 7)"
66,266,25,25,10.57222,"(22, 22)"
66,267,14,13,0.80212,"(1, 0)"
67,268,23,1,7.936751,"(18, 0)"
67,269,16,1,4.954434,"(16, 16)"
67,270,25,18,10.573641,"(11, 0)"
67,271,24,22,10.567934,"(24, 11)"
68,272,12,12,10.639364,"(12, 12)"
68,273,25,0,0.713582,"(18, 4)"
68,274,25,13,10.57222,"(25, 8)"
68,275,22,0,4.826044,"(19, 0)"
69,276,1,0,0.0,"(3, 0)"
69,277,21,14,0.017556,"(19, 11)"
69,278,17,17,10.552007,"(13, 5)"
69,279,20,18,10.571278,"(10, 10)"
70,280,8,4,2.795015,"(9, 6)"
70,281,18,5,0.006229,"(19, 1)"
70,282,5,0,2.105593,"(16, 0)"
70,283,15,10,10.571608,"(15, 15)"
71,284,2,2,0.0,"(16, 16)"
71,285,7,7,1.36122,"(10, 9)"
71,286,25,21,10.57651,"(15, 8)"
71,287,25,10,4.670052,"(22, 0)"
72,288,25,10,3.794775,"(25, 1)"
72,289,6,2,1.128403,"(11, 11)"
72,290,25,17,4.271351,"(25, 17)"
72,291,20,0,6.531813,"(17, 0)"
73,292,16,16,6.615166,"(17, 17)"
73,293,6,0,5.827662,"(5, 0)"
73,294,15,0,10.517818,"(17, 5)"
73,295,7,7,6.361523,"(3, 3)"
74,296,21,1,8.096482,"(23, 9)"
74,297,22,22,0.031557,"(19, 19)"
74,298,16,0,5.736411,"(19, 1)"
74,299,24,18,3.103572,"(23, 22)"
75,300,25,7,0.947662,"(8, 4)"
75,301,20,0,6.24885,"(15, 0)"
75,302,2,0,0.794975,"(3, 0)"
75,303,2,1,0.940623,"(8, 2)"
76,304,15,15,10.629587,"(16, 16)"
76,305,6,0,0.277113,"(15, 10)"
76,306,10,10,10.567507,"(15, 10)"
76,307,24,12,1.345328,"(13, 5)"
77,308,20,20,10.553747,"(12, 12)"
77,309,7,2,1.686346,"(10, 3)"
77,310,14,14,10.600228,"(16, 16)"
77,311,25,16,9.394204,"(25, 12)"
78,312,19,17,10.53976,"(20, 19)"
78,313,25,13,8.092761,"(24, 14)"
78,314,25,10,2.439069,"(18, 5)"
78,315,4,4,0.384485,"(11, 11)"
79,316,9,4,1.218453,"(25, 12)"
79,317,25,3,0.35709,"(25, 24)"
79,318,20,20,10.574357,"(23, 22)"
79,319,19,19,10.627947,"(9, 9)"
80,320,23,23,10.585896,"(25, 25)"
80,321,17,0,8.597305,"(20, 5)"
80,322,25,25,10.5699,"(17, 17)"
80,323,25,25,10.568136,"(25, 21)"
81,324,25,21,10.570644,"(24, 14)"
81,325,25,8,0.484942,"(22, 20)"
81,326,21,6,5.756408,"(21, 13)"
81,327,21,21,10.563001,"(14, 14)"
82,328,25,0,1.047994,"(15, 0)"
82,329,14,14,10.569186,"(9, 7)"
82,330,20,0,3.297809,"(22, 0)"
82,331,12,2,2.907655,"(13, 2)"
83,332,20,20,7.28893,"(21, 19)"
83,333,9,9,10.563703,"(16, 1)"
83,334,11,7,4.315937,"(9, 7)"
83,335,25,1,7.697131,"(19, 18)"
84,336,14,7,1.655752,"(13, 0)"
84,337,12,2,0.445287,"(24, 2)"
84,338,5,5,4.728338,"(24, 19)"
84,339,25,4,3.269585,"(14, 10)"
85,340,5,4,0.91608,"(7, 1)"
85,341,13,4,0.819235,"(23, 2)"
85,342,10,0,4.543044,"(3, 0)"
85,343,25,22,10.560591,"(25, 9)"
86,344,18,0,5.871952,"(7, 1)"
86,345,20,3,8.071657,"(24, 11)"
86,346,25,24,3.122366,"(20, 5)"
86,347,5,0,2.603271,"(5, 5)"
87,348,11,11,8.602935,"(16, 16)"
87,349,21,1,8.364586,"(25, 1)"
87,350,5,5,0.0,"(25, 12)"
87,351,20,20,0.005827,"(11, 9)"
88,352,20,20,7.298299,"(25, 19)"
88,353,25,2,8.081347,"(15, 8)"
88,354,11,5,2.238453,"(8, 4)"
88,355,25,15,4.019731,"(13, 5)"
89,356,25,7,9.117567,"(24, 2)"
89,357,25,9,0.233533,"(23, 2)"
89,358,25,9,7.607109,"(20, 15)"
89,359,13,1,0.790735,"(25, 4)"
90,360,7,1,0.009063,"(3, 3)"
90,361,25,13,10.573544,"(24, 11)"
90,362,11,11,10.624269,"(13, 13)"
90,363,22,13,10.553831,"(21, 18)"
91,364,1,1,0.297122,"(6, 2)"
91,365,14,12,0.0702,"(18, 2)"
91,366,25,10,6.45469,"(14, 13)"
91,367,14,12,2.589908,"(9, 4)"
92,368,14,10,0.215915,"(8, 2)"
92,369,25,19,3.038065,"(25, 5)"
92,370,23,12,8.945976,"(21, 18)"
92,371,25,0,6.300105,"(24, 0)"
93,372,16,0,10.510909,"(24, 2)"
93,373,25,25,10.570273,"(23, 22)"
93,374,18,0,10.529098,"(20, 2)"
93,375,11,7,10.558708,"(16, 7)"
94,376,21,20,10.548797,"(21, 18)"
94,377,23,19,10.560839,"(22, 22)"
94,378,1,0,0.0,"(13, 1)"
94,379,25,20,1.597723,"(9, 6)"
95,380,24,18,10.565687,"(24, 18)"
95,381,24,2,7.536108,"(21, 6)"
95,382,19,0,7.907783,"(13, 1)"
95,383,18,0,0.315626,"(14, 10)"
96,384,22,16,8.583773,"(19, 17)"
96,385,12,5,3.850836,"(18, 2)"
96,386,25,10,10.574416,"(25, 15)"
96,387,25,7,2.592028,"(16, 10)"
97,388,17,3,10.521177,"(25, 22)"
97,389,25,5,2.217651,"(24, 13)"
97,390,20,0,6.820152,"(19, 1)"
97,391,15,15,10.576025,"(20, 20)"
98,392,24,6,7.065333,"(25, 9)"
98,393,10,4,0.657283,"(4, 4)"
98,394,24,15,8.526878,"(24, 13)"
98,395,14,5,10.57106,"(11, 0)"
99,396,9,1,5.305441,"(11, 5)"
99,397,24,11,6.944703,"(24, 18)"
99,398,25,21,10.577768,"(17, 17)"
99,399,25,14,3.129606,"(19, 15)"
